Item,Count,Percentage
Antihistamines,28,56.0
Corticosteroids,2,4.0
Quercetin,2,4.0
Omalizumab (Xolair),2,4.0
Cromolyn sodium,2,4.0
Pain management medications,1,2.0
Diamine Oxidase,1,2.0
Topical estradiol/estriol with progesterone,1,2.0
Mast cell stabilizers,1,2.0
Prednisolone,1,2.0
Advantan,1,2.0
Tacrolimus,1,2.0
Bezuclastinib,1,2.0
Low-dose nalttrexone,1,2.0
Chromolyn Sodium,1,2.0
Anti inflammatoire,1,2.0
Chemotherapy,1,2.0
Low-dose antidepressants,1,2.0
Low-dose steroids,1,2.0
Antagoniste leucotriene,1,2.0
Tyrosine kinase inhibitor among others,1,2.0
Midostaurin,1,2.0
Leukotriene antagonists,1,2.0
Ayvakit,1,2.0
Ketotifen,1,2.0
Inhibiteurs de la tyrosine kinase,1,2.0
Natural anti-inflammatory supplements,1,2.0
Topical corticosteroids,1,2.0
